"시점","연령별(1)","연령별(2)",항목,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점","연령별(1)","연령별(2)",항목,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
"2020","계","80~84세",한국인,3999,3180,5640,5871,6105,7851,8097,9746,8102,7862,10937,11055,7692,7419,7127,9788,7907,4431,7628,8108,9292,6461,7836,9165,6920
"2020","계","85~89세",한국인,1979,1656,2932,2649,2745,3670,3661,4483,3414,3741,5557,4842,3554,3677,3594,4990,3536,2048,3711,3787,3849,3326,3977,4967,3530
"2020","계","90~94세",한국인,802,697,1193,933,990,1220,1274,1658,1173,1354,2012,1658,1283,1313,1341,2029,1203,691,1236,1432,1402,1409,1731,1984,1485
"2020","계","95~99세",한국인,291,203,434,252,287,362,327,415,336,317,496,454,368,356,352,493,313,188,362,382,351,420,507,535,379
"2020","계","100세 이상",한국인,276,205,371,251,218,313,206,384,249,175,288,425,298,346,187,239,179,177,287,313,323,232,296,299,255
"2021","계","소계",한국인,144683,122499,222953,285990,339996,337400,387350,430528,299182,317366,510956,473307,304819,368905,447302,574315,396754,230811,376837,385483,485699,412279,533042,658338,462664
"2021","계","60~64세",한국인,11511,10072,16656,21886,25426,26495,34692,31950,26276,28993,39822,37750,22602,23577,34090,44659,31900,19980,27347,28216,33150,26318,32976,48952,37366
"2021","계","65~69세",한국인,8841,8011,12513,15882,18726,21037,26013,24853,20896,22373,30925,29265,17098,17628,26190,34723,25589,14584,20903,22262,26820,21777,28551,38584,29216
"2021","계","70~74세",한국인,6254,5628,8771,11156,12461,15029,17833,17794,16210,15428,21066,21494,12582,12667,17463,23443,18653,10379,15360,16738,20807,15512,20157,24774,18910
"2021","계","75~79세",한국인,5383,4593,7189,8955,9472,12261,13343,14670,13094,12055,16230,17027,10706,10711,11752,15962,13319,7595,11507,12844,15833,11226,14410,16486,12608
"2021","계","80~84세",한국인,4078,3284,5602,6075,6503,8271,8751,10338,8712,8475,11545,11731,7918,7731,7557,10338,8389,4810,7903,8526,10042,6799,8455,9796,7509
"2021","계","85~89세",한국인,2071,1683,2989,2927,2992,3872,3951,4798,3795,4003,5848,5358,3884,3790,3743,5265,3899,2166,4047,4091,4144,3420,4145,5206,3784
"2021","계","90~94세",한국인,750,667,1139,963,1003,1202,1305,1676,1187,1388,2117,1708,1275,1348,1398,2039,1251,722,1235,1413,1349,1365,1782,2039,1494
"2021","계","95~99세",한국인,200,145,278,195,243,268,297,351,279,303,454,383,286,284,323,484,303,156,287,362,315,382,472,528,342
"2021","계","100세 이상",한국인,32,26,71,48,50,69,67,65,45,89,86,72,73,72,57,82,42,30,53,84,61,93,106,90,
