"광역시도","시군구","선거인수","투표수","이재명","윤석열","심상정","electionSum","electionRatio"
"경기도","고양시일산서구",251203,197311,99597,89677,4975,194249,98.448135177461
"경기도","과천시",63841,54194,21072,30934,1314,53320,98.387275344134
"경기도","의왕시",139712,113105,54997,53556,2717,111270,98.377613721763
"경기도","구리시",164281,127688,63465,58865,3023,125353,98.171323851889
"경기도","남양주시",608146,460518,239179,203075,10089,452343,98.2248250882702
"경기도","오산시",188297,135108,72877,55793,3352,132022,97.7159013529917
"경기도","화성시",703896,542027,283324,236055,12955,532334,98.2117127006588
"경기도","시흥시",424723,317197,178462,125544,7082,311088,98.0740675353172
"경기도","군포시",229884,183089,94891,80277,4593,179761,98.182304780735
"경기도","하남시",265087,208858,101106,100088,4624,205818,98.5444656177882
"경기도","파주시",401260,297278,157155,126763,7176,291094,97.9197922483332
"경기도","여주시",98077,72566,30695,38731,1458,70884,97.6821100791004
"경기도","이천시",187895,137512,63562,67726,2995,134283,97.6518412938507
"경기도","용인시처인구",220689,162420,80188,75105,3618,158911,97.8395517793375
"경기도","용인시수지구",304545,250764,113161,128995,5334,247490,98.6943899443301
"경기도","용인시기흥구",361753,289459,143279,135606,6267,285152,98.5120517931728
"경기도","안성시",162452,117380,56723,54799,2892,114414,97.4731640824672
"경기도","김포시",391889,302170,153206,136814,6905,296925,98.2642221266175
"경기도","포천시",131901,95968,44320,47306,1903,93529,97.4585278426142
"경기도","연천군",37817,28904,12013,15325,604,27942,96.6717409355107
"경기도","양평군",106406,83065,34324,45487,1662,81473,98.0834286402215
"경기도","가평군",55618,42512,16684,23870,872,41426,97.445427173504
"강원도","춘천시",243403,186646,82376,94926,5294,182596,97.8301169058003
"강원도","원주시",302881,226239,100954,113560,6105,220619,97.5159013255893
"강원도","강릉시",185823,141724,54377,80482,3434,138293,97.5790974005814
"강원도","동해시",77147,57515,22896,31739,1359,55994,97.3554724854386
"강원도","삼척시",56233,43642,16297,25308,897,42502,97.3878374043353
"강원도","태백시",35551,27039,10846,15101,489,26436,97.7698879396427
"강원도","정선군",32101,24898,10103,13643,494,24240,97.3572174471845
"강원도","속초시",71571,52516,21713,28342,1230,51285,97.6559524716277
"강원도","고성군",24668,19218,7433,10840,427,18700,97.3046102612134
"강원도","양양군",25257,19716,7343,11495,434,19272,97.7480219111382
"강원도","인제군",27897,21836,8937,11591,501,21029,96.3042681809855
"강원도","홍천군",60872,46697,18418,25851,1049,45318,97.0469195023235
"강원도","횡성군",41685,32625,12557,18546,676,31779,97.4068965517241
"강원도","영월군",34306,26925,10758,14904,536,26198,97.2999071494893
"강원도","평창군",37325,29353,11463,16571,564,28598,97.4278608660103
"강원도","화천군",21088,16494,6445,9009,433,15887,96.319873893537
"강원도","양구군",18565,14529,5689,7878,387,13954,96.0423979626953
"강원도","철원군",37248,27846,11039,15194,722,26955,96.8002585649645
"충청북도","청주시상당구",162949,122198,55852,59685,3548,119085,97.4524951308532
"충청북도","청주시서원구",165206,124726,56323,61745,3499,121567,97.4672482080721
"충청북도","청주시흥덕구",223335,163683,76940,77952,4770,159662,97.5434223468534
"충청북도","청주시청원구",159671,117836,56679,54855,3331,114865,97.4786992090702
"충청북도","충주시",180976,135848,58801,70382,3270,132453,97.5008833402038
"충청북도","제천시",114317,87091,36442,46482,1922,84846,97.4222365112354
"충청북도","단양군",25748,20193,7271,11969,387,19627,97.1970484821473
"충청북도","영동군",41165,31795,12029,18238,664,30931,97.2825916024532
"충청북도","보은군",28971,22717,8757,12754,525,22036,97.0022450147467
"충청북도","옥천군",44671,34242,14138,18241,864,33243,97.0825302260382
"충청북도","진천군",71306,51932,25402,23759,1361,50522,97.2849110375106
"충청북도","괴산군",34819,27419,10304,15895,546,26745,97.5418505415952
"충청북도","증평군",30953,22653,10215,11264,560,22039,97.289542223988
"충청남도","천안시서북구",329610,238154,115553,110141,6568,232262,97.5259705904583
"충청남도","천안시동남구",216193,157433,71851,77739,4085,153675,97.6129528116723
"충청남도","공주시",91684,68872,28472,37339,1423,67234,97.6216749912882
"충청남도","보령시",86253,65715,26207,36419,1367,63993,97.3795937000685
"충청남도","아산시",265136,192927,93262,89998,4976,188236,97.568510369207
"충청남도","서산시",148201,108990,48642,54892,2640,106174,97.4162767226351
